GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	sample	COV
0	134	160	17	4.27363	0.33786	aDNA	177.653699356181
1	128	32	17	0.894791	0.158178	aDNA	37.1962316112102
2	284	97	16	1.222461	0.124122	aDNA	50.8173891910755
3	334	79	17	0.846569	0.095246	aDNA	35.1916554802972
4	586	176	17	1.074971	0.081029	aDNA	44.6862678450434
5	881	243	17	0.987216	0.06333	aDNA	41.0383150772554
6	1734	473	17	0.976324	0.044891	aDNA	40.5855374401209
7	3729	1019	17	0.978056	0.030639	aDNA	40.657536234421
8	8141	2301	17	1.011627	0.021089	aDNA	42.0530740655122
9	16808	4589	17	0.977201	0.014425	aDNA	40.6219941044403
10	34763	9554	17	0.983671	0.010064	aDNA	40.8909503394991
11	69810	19508	17	1.000177	0.007161	aDNA	41.5771005119691
12	130051	35971	17	0.989967	0.00522	aDNA	41.1526734393338
13	225313	62749	17	0.996787	0.003979	aDNA	41.4361790843262
14	366008	102302	17	1.000404	0.003128	aDNA	41.5865368435547
15	556676	155535	17	1.000017	0.002536	aDNA	41.5704493531423
16	800615	222964	17	0.996765	0.002111	aDNA	41.4352645499876
17	1090671	304407	17	0.998947	0.001811	aDNA	41.5259697284881
18	1418273	395486	17	0.998052	0.001587	aDNA	41.4887648088007
19	1774919	496173	17	1.000544	0.00142	aDNA	41.5923566075281
20	2152468	602265	17	1.001458	0.00129	aDNA	41.6303513523262
21	2542014	709171	17	0.998515	0.001186	aDNA	41.5080115996557
22	2928897	819436	17	1.001366	0.001106	aDNA	41.6265269360008
23	3296894	922161	17	1.001114	0.001043	aDNA	41.6160513608486
24	3640966	1017198	17	0.999932	0.000991	aDNA	41.5669159250156
25	3947965	1104424	17	1.001254	0.000953	aDNA	41.6218711248221
26	4186891	1171540	17	1.001491	0.000925	aDNA	41.6317231538343
27	4342177	1211948	17	0.998983	0.000907	aDNA	41.5274662392241
28	4398905	1229750	17	1.000585	0.000902	aDNA	41.5940609669775
29	4357284	1216847	17	0.999544	0.000906	aDNA	41.5507868648606
30	4224385	1181085	17	1.00069	0.000921	aDNA	41.5984257899576
31	3994228	1116939	17	1.000872	0.000947	aDNA	41.6059914831231
32	3689416	1030526	17	0.999731	0.000985	aDNA	41.5585604067394
33	3323630	928272	17	0.999642	0.001038	aDNA	41.554860699642
