group	sample	Read_pairs_total	Read_pairs_mapped	Map_rate	COV	Scaf_COV_mean	Scaf_COV10_fr_mean	Scaf_COV20_fr_mean	COV10	COV20	GC_bias	COV_mu-sd_est	COV_mu+sd_est	sample	COV_mu-sd_obs	COV_mu+sd_obs	Ter_bias	COV_1kb_est	COV_30kb_est	sample	COV_1kb_obs	COV_30kb_obs
aDNA	aDNA	9999992	9999992	1	41.5697	41.4319	0.927519	0.906805	0.992431	0.990196	0.00101057504690434	0.99775849232137	1.00021055767863	aDNA	0.998947	0.997356	0.00636058277481468	0.99466047464073	1.01310616468769	aDNA	0.980699893955462	1.00731707317073
mcDNA	mcDNA	13561348	10918460	0.8028	45.2265	31.3893	0.729184	0.539719	0.974729	0.958918	-0.00939884615384613	1.02699455835038	1.00418914164962	mcDNA	0.987594	1.007729	0.058607652695391	0.856085652825782	1.02604784564242	mcDNA	0.829962192816635	1.00141776937618
scDNA	sc1_D10	20737111	20253302	0.9716	83.2776	39.2551	0.494227	0.403294	0.943804	0.910915	0.144764275797373	0.881804146309799	1.2330610536902	sc1_D10	0.767969	1.311041	0.362449978018511	0.111799889528919	1.1629048257826	sc1_D10	0.104118993135011	1.04845537757437
scDNA	sc1_D14	12134829	11210363	0.9211	46.0554	24.1083	0.493985	0.370408	0.942224	0.876631	0.225064753283302	0.755376891122438	1.30147535887756	sc1_D14	0.726743	1.361063	0.31559267985055	0.260189238713979	1.17540801028057	sc1_D14	0.1743961352657	1.09690821256039
scDNA	sc1_D5	20772160	19350652	0.9292	79.7836	39.0967	0.572751	0.448083	0.957148	0.929178	0.296258597560976	0.663102405663231	1.38194604433677	sc1_D5	0.617831	1.437383	0.318797922467336	0.201209145427291	1.12572312058257	sc1_D5	0.150597826086957	1.02271739130435
scDNA	sc2_D10	15116724	14694847	0.9659	60.2539	30.357	0.465215	0.371798	0.93293	0.881477	0.124187192307692	0.908442450730731	1.20977099926927	sc2_D10	0.758711	1.287821	0.355079475568338	0.114834547012196	1.14456502616038	sc2_D10	0.104503105590062	1.03757763975155
scDNA	sc2_D5	7687914	7229081	0.9376	29.7659	15.0432	0.410178	0.275428	0.914068	0.74656	0.20086051782364	0.775370367194806	1.26273953280519	sc2_D5	0.718832	1.310065	0.31264296423217	0.22921139430285	1.13587599057614	sc2_D5	0.157101449275362	1.04217391304348
scDNA	sc3_D10	17284816	16618730	0.9529	67.9379	37.4922	0.501602	0.402864	0.94511	0.90613	0.158153199812383	0.890566038528018	1.27430991147198	sc3_D10	0.67091	1.377502	0.349511283319379	0.151949934123847	1.16553265575005	sc3_D10	0.118642951251647	1.06100131752306
scDNA	sc3_D14	15270447	14706454	0.9496	59.6199	34.3539	0.476882	0.384779	0.939912	0.889898	0.1250756369606	0.940799837012489	1.24428411298751	sc3_D14	0.752731	1.358164	0.303464154622195	0.164510675696637	1.044556724101	sc3_D14	0.123463268365817	1.00404797601199
scDNA	sc3_D5	7865486	6621970	0.839	27.2328	13.7601	0.39969	0.255051	0.912323	0.714766	0.101906669793621	0.93488862248637	1.18215557751363	sc3_D5	0.876916	1.241256	0.301094605758343	0.231134075819285	1.10430843251848	sc3_D5	0.158540372670807	1.02624223602485
scDNA	sc4_D10	14042526	13270699	0.9411	54.6727	25.4744	0.489482	0.383392	0.944438	0.90492	0.16336539587242	0.820653261631392	1.21704403836861	sc4_D10	0.772783	1.266722	0.31894351525536	0.173926127845167	1.09886232208571	sc4_D10	0.129249011857707	0.994782608695652
scDNA	sc4_D14	18350803	17773064	0.9614	72.0851	44.748	0.495029	0.398374	0.942677	0.889971	0.16064247467167	0.938160267800906	1.32794413219909	sc4_D14	0.78391	1.486844	0.280130247376312	0.204821495502253	1.01719921289356	sc4_D14	0.159986413043478	1.05951086956522
scDNA	sc4_D5	20790437	19406703	0.931	79.9395	39.2461	0.59848	0.464525	0.961749	0.941581	0.0910125440900563	0.940258108472312	1.16109149152769	sc4_D5	0.88778	1.227781	0.308595092697556	0.220255969576184	1.1151817383991	sc4_D5	0.157423117709438	1.01930010604454
